PDF File Name,Cosine Similarity
11807040.pdf,0.9199007504161201
26924514.pdf,0.910612374820265
11958994.pdf,0.9103871401007083
15471999.pdf,0.9103023205185601
27529455.pdf,0.9085954418017622
34317538.pdf,0.90799705631559
27497542.pdf,0.9074013702669316
17555081.pdf,0.9066097279365495
25949631.pdf,0.9053545951389401
26496059.pdf,0.9043168460143793
26622051.pdf,0.9039432588912342
22675694.pdf,0.9038696193702317
18835363.pdf,0.9035157879919604
29524570.pdf,0.9031315543831999
37263609.pdf,0.9017460591806661
18198627.pdf,0.9015246454350052
10751444.pdf,0.9011999604582265
14743911.pdf,0.8979737312206644
44185767.pdf,0.8976361203291624
19195747.pdf,0.8973499384067902
26503829.pdf,0.897005517585953
11919526.pdf,0.8960185540188952
30965258.pdf,0.8958512491577177
24455357.pdf,0.8952549037078051
41506705.pdf,0.8940619715184462
29865476.pdf,0.8934687620807686
35990852.pdf,0.8929899051025495
94417768.pdf,0.8926908741582601
11155153.pdf,0.8926397360718276
13774329.pdf,0.8919412496692243
68240723.pdf,0.8912986813251014
22506245.pdf,0.8897323738426883
76010167.pdf,0.8896492342998374
14528265.pdf,0.8894789143067574
67645662.pdf,0.8889915502565116
12415691.pdf,0.8877978922598533
34051710.pdf,0.8863372336896588
37695494.pdf,0.8861812988016042
28326441.pdf,0.8859135507067201
25023614.pdf,0.8851216619262037
38565119.pdf,0.8850594904025939
12547982.pdf,0.8843940978462917
22567495.pdf,0.8821595032783002
26942552.pdf,0.8804306915443887
13014900.pdf,0.8800394452904124
13998435.pdf,0.8795220387010624
62312955.pdf,0.8787810737127772
93301686.pdf,0.8777623598422392
32954522.pdf,0.8771370528646986
21916744.pdf,0.8767218020909489
20932019.pdf,0.8764455440831036
11722421.pdf,0.875563314222169
14014749.pdf,0.8751060957960857
20748926.pdf,0.8749624040420425
18979238.pdf,0.8732440906688136
51018476.pdf,0.871976893365987
25422388.pdf,0.8709047478875375
34657584.pdf,0.8695707393243607
39434376.pdf,0.8694381416642755
85101052.pdf,0.8681639575257625
21283733.pdf,0.8665419933943088
51681660.pdf,0.8660551138654515
30968749.pdf,0.8651054028344995
20986595.pdf,0.8640591067794648
18795567.pdf,0.8634514253122417
17199951.pdf,0.8616468279013852
29147100.pdf,0.861229885274376
26676567.pdf,0.8598462071579577
24583187.pdf,0.8590519033380659
78149576.pdf,0.8590254482026913
22496394.pdf,0.8577343715613277
81011612.pdf,0.8570625963937843
37664296.pdf,0.8567549766470707
67582956.pdf,0.8529190670632665
10748989.pdf,0.8517944470883292
54201930.pdf,0.8504764315742174
20390397.pdf,0.850332795196785
15425154.pdf,0.8493678827396205
24285142.pdf,0.8462224922402513
23951429.pdf,0.8460473957033168
26790545.pdf,0.8458658286717438
39776400.pdf,0.8431377176353652
25061645.pdf,0.8402738950099046
34511655.pdf,0.837814500376493
28663949.pdf,0.8355225119524138
13557622.pdf,0.8343707013878204
39252859.pdf,0.8327004300577243
37058472.pdf,0.8206623008141529
24655918.pdf,0.8199213929065581
42384185.pdf,0.819605225758068
34349255.pdf,0.8189374870298562
16288901.pdf,0.8184296521384264
13518263.pdf,0.811303568625591
14724186.pdf,0.8074985514656825
26046064.pdf,0.8042222959281856
44145704.pdf,0.7989594819593743
19164410.pdf,0.7904922246834098
32532982.pdf,0.7882204944041213
38744475.pdf,0.7838713850487448
18460045.pdf,0.7816354703014471
12674307.pdf,0.7666051742837925
21705160.pdf,0.7593098383038558
15936656.pdf,0.7530616545147797
91153752.pdf,0.7052892644691335
90066849.pdf,0.63854156072875
10466583.pdf,0.6117041436182811
36269672.pdf,0.3348505969219384
