,Rank 1 PDF File,Rank 2 PDF File,Rank 3 PDF File,Rank 4 PDF File,Rank 5 PDF File
Accountant,"('37370455.pdf', 0.9242948247867522)","('15821633.pdf', 0.9199488403016489)","('27558837.pdf', 0.9185569236768654)","('37997506.pdf', 0.917681791519511)","('23139819.pdf', 0.9166345307830805)"
Part-time   Patient Advocate,"('14064815.pdf', 0.9636860782215233)","('13342150.pdf', 0.9609387739277153)","('35474904.pdf', 0.9576366116264056)","('19926135.pdf', 0.9562021521335522)","('54067174.pdf', 0.9561573248926274)"
"Account Executive, Urology - Ohio and parts of W.PA, W.VA","('12674256.pdf', 0.9405323531057721)","('16507693.pdf', 0.9361401248842235)","('17312146.pdf', 0.9322141155048964)","('10953078.pdf', 0.9268223874501544)","('54246169.pdf', 0.9249616834989716)"
Business Banking Relationship Manager,"('58208591.pdf', 0.9616966842918363)","('41586420.pdf', 0.9609668790713686)","('29028935.pdf', 0.9597479810424104)","('23190306.pdf', 0.9584699127476026)","('14937492.pdf', 0.9561259950388171)"
 Construction Project Manager,"('99561379.pdf', 0.9579040402537771)","('25926667.pdf', 0.9518795449819729)","('34304175.pdf', 0.9471976707979902)","('99033098.pdf', 0.9469224755757494)","('13272204.pdf', 0.9455509579566084)"
Ecommerce Consultant,"('22732234.pdf', 0.9615021432095816)","('14508237.pdf', 0.9547297141847053)","('11887930.pdf', 0.9518139263189598)","('91515108.pdf', 0.9484214812342753)","('25047127.pdf', 0.9466904236354108)"
SR. Web Designer,"('11333001.pdf', 0.9675720472000595)","('22650051.pdf', 0.9609605944267583)","('23761385.pdf', 0.9600510898719401)","('15823995.pdf', 0.9599442419509217)","('24668861.pdf', 0.9599208918630486)"
Software Engineering,"('38897568.pdf', 0.9370401004138214)","('27884470.pdf', 0.9356257774693376)","('18457785.pdf', 0.9346635270084167)","('99124477.pdf', 0.9303241891895946)","('17823436.pdf', 0.9287961038269303)"
Director of Finance,"('89512321.pdf', 0.9506479310629141)","('13964744.pdf', 0.9501466215047571)","('16492045.pdf', 0.929630708153159)","('24727739.pdf', 0.9236427855924925)","('69097572.pdf', 0.9219775305775372)"
Fitness Coach,"('34046031.pdf', 0.9466313648318536)","('31813535.pdf', 0.9398873300635191)","('38688388.pdf', 0.9397672667083605)","('12546838.pdf', 0.9395840573892387)","('27213082.pdf', 0.9389416845275141)"
"VP, Healthcare Services","('15180322.pdf', 0.944620898534007)","('14663897.pdf', 0.9425311718901102)","('62555739.pdf', 0.9406729233446177)","('30337969.pdf', 0.9373826476267764)","('10333299.pdf', 0.9340601283236951)"
HR Generalist,"('12491898.pdf', 0.9556794034769915)","('63083944.pdf', 0.9516896687290395)","('21782152.pdf', 0.9511598307650073)","('32799518.pdf', 0.9463133068016729)","('30397268.pdf', 0.9455407890329737)"
Sales Associate,"('95792386.pdf', 0.9580070916059967)","('11835339.pdf', 0.9545982951347798)","('10984392.pdf', 0.95402052550085)","('13215696.pdf', 0.953314552601945)","('17983957.pdf', 0.9494567521131086)"
Teachers at Alpha Park KinderCare,"('11807040.pdf', 0.9199007504161201)","('26924514.pdf', 0.910612374820265)","('11958994.pdf', 0.9103871401007083)","('15471999.pdf', 0.9103023205185601)","('27529455.pdf', 0.9085954418017622)"
